show_id,title,type
81145628,Norm of the North: King Sized Adventure,Movie
80221550,"Archibald's Next Big Thing",TV Show
81154455,Article 15,Movie
81113928,Care of Kancharapalem,Movie
81052275,Ee Nagaraniki Emaindi,Movie
81132437,Kill Me If You Dare,Movie
80178151,The Spy,TV Show
81176188,American Factory: A Conversation with the Obamas,Movie
81160036,Saawan,Movie
81173255,The Heretics,Movie
81078908,The World We Make,Movie
81155784,Watchman,Movie
81054495,Mo Gilligan: Momentum,Movie
81053893,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Movie
80200087,Domino,Movie
81053892,TUNA GIRL,Movie
80225885,Bard of Blood,TV Show
81132443,Deliha 2,Movie
80218107,Dragons: Rescue Riders,TV Show
80231903,In the Shadow of the Moon,Movie
