_id,count
Anupam Kher,33
Shah Rukh Khan,30
Om Puri,27
Naseeruddin Shah,27
Yuki Kaji,26
Akshay Kumar,26
Paresh Rawal,25
Takahiro Sakurai,25
Amitabh Bachchan,24
Boman Irani,23
John Cleese,22
Andrea Libman,22
Ashleigh Ball,22
Kareena Kapoor,19
Tara Strong,18
David Attenborough,18
Vincent Tong,18
Kay Kay Menon,18
Erin Fitzgerald,18
Gulshan Grover,18
Fred Tatasciore,18
Daisuke Ono,18
Kate Higgins,17
Nicolas Cage,17
Laura Bailey,17
Robb Wells,16
Mamoru Miyano,16
Debi Derryberry,16
Jackie Shroff,16
Saif Ali Khan,15
Danny Trejo,15
Morgan Freeman,15
Molly Shannon,15
Asrani,15
Samuel L. Jackson,15
Ajay Devgn,15
Tomokazu Sugita,15
John Paul Tremblay,15
Eric Idle,15
Rajpal Yadav,15
Michael Palin,15
Nawazuddin Siddiqui,14
Kari Wahlgren,14
Kathleen Barr,14
Adil Hussain,14
Yashpal Sharma,14
Amrish Puri,14
Alessandro Juliani,14
Aamir Khan,14
Diana Kaarina,14
Samuel West,14
Terry Jones,14
Hiroshi Kamiya,14
Salman Khan,14
Brian Drummond,14
Tabitha St. Germain,14
Manoj Bajpayee,14
James Franco,14
Anil Kapoor,14
Kana Hanazawa,14
Priyanka Chopra,14
Yuichi Nakamura,13
Vijay Raaz,13
Jun Fukuyama,13
Saori Hayami,13
Graham Chapman,13
Adam Sandler,13
Ai Kayano,13
Ron Perlman,13
Katrina Kaif,13
Terry Gilliam,13
Junichi Suwabe,13
Seth Rogen,13
Ian James Corlett,13
Ranvir Shorey,13
Antonio Banderas,13
Irrfan Khan,13
Maaya Sakamoto,12
Manoj Joshi,12
Rajesh Sharma,12
Johnny Lever,12
Sachin Khedekar,12
Kulbhushan Kharbanda,12
Jason Schwartzman,12
Erin Mathews,12
Vipin Sharma,12
Johnny Depp,12
Tinnu Anand,12
Jim Broadbent,12
Sam Vincent,12
Guy Pearce,12
Javed Sheikh,12
Raghuvir Yadav,12
Radhika Apte,12
Mahesh Manjrekar,12
Pankaj Tripathi,12
Keith David,12
Juhi Chawla,11
Cam Clarke,11
Demet Akbağ,11
Cassandra Morris,11
Halle Berry,11
Tay Ping Hui,11
Shakti Kapoor,11
Miyuki Sawashiro,11
David Cross,11
Jimmy Shergill,11
Alfred Molina,11
Takehito Koyasu,11
Divya Dutta,11
Stephen Fry,11
Adam Scott,11
Jeff Dunham,11
Julie Tejwani,11
John Dunsworth,11
Nassar,11
Pavan Malhotra,11
Keanu Reeves,11
Saurabh Shukla,11
Kevin Michael Richardson,11
Fred Armisen,11
Paul Rudd,11
Mike Smith,11
Ryan Reynolds,11
Abhay Deol,11
Satoshi Hino,11
John C. Reilly,11
Sean Astin,11
Tamannaah Bhatia,10
Bruce Willis,10
Seema Biswas,10
Jackie Chan,10
Joan Cusack,10
Sanjay Dutt,10
Kazuya Nakai,10
Johnny Yong Bosch,10
John Michael Higgins,10
Cindy Robinson,10
Kenjiro Tsuda,10
Mithun Chakraborty,10
