_id,type,count
2 Chainz,Docuseries,1
4Minute,Music & Musicals,1
50 Cent,Action & Adventure,2
A Boogie Wit tha Hoodie,Docuseries,1
A-ra Go,International TV Shows,1
A. Murat Özgen,International Movies,1
A.C. Peterson,Dramas,1
A.D. Miles,TV Comedies,2
A.J. Cook,Horror Movies,1
A.J. LoCascio,Kids' TV,2
A.K. Hangal,International Movies,3
A.R. Rahman,Music & Musicals,1
A.S. Sasi Kumar,Dramas,1
AFRA,TV Horror,1
AJ Bowen,Dramas,1
AJ Michalka,Kids' TV,1
AJ Rivera,TV Action & Adventure,1
Aabhas Yadav,Dramas,1
Aachal Munjal,International Movies,1
Aadarsh Balakrishna,Dramas,2
Aadhi,Dramas,1
Aaditi Pohankar,Dramas,1
Aaditya Pratap Singh,Independent Movies,1
Aadukalam Naren,International Movies,1
Aadya Bedi,International Movies,1
Aahana Kumra,Crime TV Shows,1
Aakarshan Singh,TV Sci-Fi & Fantasy,1
Aakash Dabhade,International Movies,3
Aakash Pandey,International Movies,1
Aamina Sheikh,Dramas,1
Aamir Ahmed,Dramas,1
Aamir Bashir,International Movies,3
Aamir Khan,International Movies,14
Aamir Qureshi,Music & Musicals,1
Aanand Kale,Comedies,1
Aanchal Munjal,Action & Adventure,1
Aarav Khanna,Dramas,1
Aarif Rahman,Action & Adventure,1
Aarjav Trivedi,Romantic Movies,1
Aarna Sharma,TV Mysteries,1
Aarohi Patel,Romantic Movies,1
Aaron Abrams,Dramas,1
Aaron Blakely,Dramas,1
Aaron Burns,Horror Movies,1
Aaron Carpenter,Reality TV,1
Aaron Chen,International TV Shows,1
Aaron D. Spears,TV Dramas,1
Aaron Dismuke,Anime Series,1
Aaron Douglas,TV Thrillers,1
Aaron Dugger,Comedies,1
Aaron Eckhart,Action & Adventure,2
Aaron Eisenberg,Comedies,1
Aaron Farb,Independent Movies,1
Aaron Hale,TV Dramas,1
Aaron Hernandez,Docuseries,1
Aaron Himelstein,Horror Movies,1
Aaron Jakubenko,TV Dramas,2
Aaron Jeffery,Dramas,2
Aaron Keogh,Independent Movies,1
Aaron Kwok,Action & Adventure,1
Aaron L. McGrath,TV Horror,1
